step,adv_reward/adv_reward_scaled_max
2000,99.8005142211914
4000,100.0
6000,100.0
8000,100.0
10000,99.99970245361328
12000,-61.70900344848633
14000,100.0
16000,-31.9576416015625
18000,100.0
20000,34.09886932373047
22000,99.99994659423828
24000,100.0
26000,100.0
28000,99.99777221679688
30000,-58.87956619262695
32000,100.0
34000,100.0
36000,-56.39611053466797
38000,100.0
40000,-9.51064395904541
42000,100.0
44000,99.99996948242188
46000,-54.631752014160156
48000,99.99995422363281
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,-50.64398956298828
60000,96.36288452148438
62000,-41.88272476196289
64000,91.15087890625
66000,-49.498531341552734
68000,60.66379928588867
70000,100.0
72000,100.0
74000,-37.33798599243164
76000,-31.797290802001953
78000,77.1502456665039
80000,100.0
82000,100.0
84000,100.0
86000,100.0
88000,99.99915313720703
90000,-58.25421905517578
92000,-43.31679153442383
94000,100.0
96000,99.99999237060547
98000,68.64830780029297
100000,-15.296793937683105
