step,loss/value_loss
10000,361756.096496831
20000,232583.9570867867
30000,143540.74705991804
40000,191396.65655016183
50000,111268.8032637365
60000,61467.532191061786
70000,93900.63656736616
80000,112975.00232851596
90000,41129.358596120604
100000,53994.124574174
110000,38013.488985541255
120000,30414.51017121996
130000,14888.645433256208
140000,11296.87722287625
150000,6077.884208947018
160000,30694.419416026365
170000,7882.614186017347
180000,5226.180630140131
190000,13860.112916837668
200000,14107.51596862121
210000,23550.786598748906
220000,9067.016320816929
230000,4496.913003860742
240000,13089.796828404635
250000,14746.189274670076
260000,9440.79731247217
270000,10723.802596095851
280000,4064.5362124464214
290000,5399.59700029188
300000,5166.3667132599385
310000,6347.882527001622
320000,7184.561975948314
330000,7634.764271062695
340000,13579.763690523067
350000,5635.456234631272
360000,4680.7153916348525
370000,7343.140489225496
380000,9025.131141350354
390000,20378.099051683934
400000,6463.576470693411
410000,5675.583002138632
420000,8951.935115477474
430000,7333.646554644016
440000,9853.849183161195
450000,3886.3419626696077
460000,6621.149460340397
470000,5234.217609251684
480000,14653.51508593201
490000,7629.0297808065125
500000,8359.642315934721
