step,loss/value_loss
2000,0.00015853250369356499
4000,0.00032872322576842983
6000,8.516173596411201e-05
8000,0.0002937762530590882
10000,0.0002091848460056626
12000,4.587573208119938e-05
14000,0.0004578959510491287
16000,0.00023381203849705623
18000,0.00010021714133129902
20000,0.00021498286365572737
22000,0.0002547601960141329
24000,7.398426584170938e-05
26000,0.00021954756060945627
28000,0.00022954362799836167
30000,4.9414121152284214e-05
32000,0.00021609582801776907
34000,0.00028750087773265457
36000,6.453169485146177e-05
38000,0.00019973282443102352
40000,0.0001954168821008396
42000,4.739733246025182e-05
44000,0.00011281751239327249
46000,0.00018289371486819987
48000,8.527741921686691e-05
50000,0.00011935746002256281
52000,0.00014196289921679278
54000,3.0059143737050597e-05
56000,5.572120778201516e-05
58000,0.00013050041230506124
60000,4.771093490604337e-05
62000,8.159208245879824e-05
64000,0.0001598730663899884
66000,4.320195809083839e-05
68000,0.00013984410205242264
70000,0.00021198773352833574
72000,3.4757242071403795e-05
74000,0.00022430578974080772
76000,0.00014803042737069984
78000,3.971736634280917e-05
80000,0.0001131402416107383
82000,7.681752345387934e-05
84000,5.8647501495392694e-05
86000,8.000370539794536e-05
88000,0.0001782562291099365
90000,2.955889440063379e-05
92000,0.00016663314392134445
94000,0.000124122040059189
96000,3.8728115552217465e-05
98000,0.00017154667608073712
100000,0.00012358602027986662
