step,loss/policy_loss
2000,0.017485839401324144
4000,0.04298045890237784
6000,0.06706193142309198
8000,0.01663825983060368
10000,0.28300992809840025
12000,0.16539275714709673
14000,0.015331602568882552
16000,0.05548510275227102
18000,0.03114224718876381
20000,0.03677143224429188
22000,0.08305259853924558
24000,0.025124490683460076
26000,0.037845442776486334
28000,0.047156198008856794
30000,0.053966137807780715
32000,0.016269848011292394
34000,0.4715796013147946
36000,0.07520917813671794
38000,0.018732249945460643
40000,0.08127175538995515
42000,0.07992993694992137
44000,0.058473518407839764
46000,0.06245067150777165
48000,0.045354039970937315
50000,0.019362580682984996
52000,0.06816543286002665
54000,0.0914331006883785
56000,0.09515095231362992
58000,0.07399679742954865
60000,0.04575767995686021
62000,0.09709307658075114
64000,0.047408092663800194
66000,0.08275735052123503
68000,0.041271803570041704
70000,0.021410986054881273
72000,0.057949588156546036
74000,0.0034028942673458907
76000,0.06674329022766753
78000,0.08776646716595374
80000,0.04631921463440079
82000,0.1171038753013635
84000,0.08987885889324859
86000,0.06960174984852867
88000,0.05470039009357393
90000,0.08069122555610518
92000,0.030884173715446668
94000,0.031073266568459303
96000,0.0542629522038095
98000,0.04017210868225095
100000,0.07553959104323016
