step,stat/ep_return
2000,10.73805871737688
4000,5.417991514999604
6000,9.717527299818375
8000,14.017380121806976
10000,9.729076431979644
12000,15.937757731521737
14000,19.96946442500539
16000,12.492182569520274
18000,14.501179416536289
20000,19.58904753160051
22000,8.124496121543027
24000,13.72745261220508
26000,10.053083090106451
28000,15.690891154591341
30000,19.5209354864934
32000,13.21121912321475
34000,18.406058767084488
36000,15.791768241299149
38000,13.667689871209665
40000,19.57317921457133
42000,24.244355914066677
44000,9.853538082046878
46000,18.208615897211367
48000,31.279273443463374
50000,29.196607099788224
52000,60.619981147098635
54000,49.95059966144093
56000,27.45671959331175
58000,21.990289710207474
60000,19.97589318482288
62000,24.56273398643375
64000,28.644940861209392
66000,18.69269356547311
68000,40.87713937832197
70000,59.68317790377631
72000,53.050551863385216
74000,21.079774992297608
76000,24.257204335111204
78000,23.134425422246885
80000,22.39304467291931
82000,36.117288813525604
84000,36.814980459762126
86000,27.48525096642455
88000,22.498548522360714
90000,39.34531844023161
92000,23.907097122681392
94000,31.0003814471175
96000,36.05411972286565
98000,46.9291847137403
100000,21.062785120846257
