step,stat/step_time
2000,0.6913571357727051
4000,0.652285099029541
6000,0.6628856658935547
8000,0.6465663909912109
10000,0.6130359172821045
12000,0.6557848453521729
14000,0.6104495525360107
16000,0.5738494396209717
18000,0.6517250537872314
20000,0.5891416072845459
22000,0.5450484752655029
24000,0.5940113067626953
26000,0.6252396106719971
28000,0.589604377746582
30000,0.6053471565246582
32000,0.6439964771270752
34000,0.5295305252075195
36000,0.6474337577819824
38000,0.6188607215881348
40000,0.588831901550293
42000,0.6396982669830322
44000,0.6309919357299805
46000,0.5666146278381348
48000,0.6058955192565918
50000,0.59047532081604
52000,0.5596439838409424
54000,0.5652897357940674
56000,0.5834858417510986
58000,0.7419075965881348
60000,0.5704221725463867
62000,0.5624239444732666
64000,0.5692567825317383
66000,0.6060769557952881
68000,0.5801639556884766
70000,0.5490045547485352
72000,0.5930533409118652
74000,0.5824034214019775
76000,0.5428917407989502
78000,0.5985960960388184
80000,0.5936446189880371
82000,0.5536143779754639
84000,0.6059846878051758
86000,0.6563045978546143
88000,0.5590331554412842
90000,0.5846858024597168
92000,0.6079838275909424
94000,0.523094892501831
96000,0.58414626121521
98000,0.5258176326751709
100000,0.5010297298431396
