step,stat/ep_length
2000,11.5
4000,14.7
6000,30.9
8000,33.0
10000,22.8
12000,39.3
14000,42.1
16000,51.3
18000,47.6
20000,39.9
22000,40.1
24000,44.5
26000,40.7
28000,48.2
30000,49.8
32000,47.0
34000,53.8
36000,37.3
38000,76.6
40000,64.9
42000,80.3
44000,39.7
46000,51.4
48000,56.9
50000,74.2
52000,71.6
54000,73.5
56000,50.5
58000,65.9
60000,92.0
62000,103.5
64000,64.1
66000,66.1
68000,57.5
70000,83.2
72000,82.2
74000,51.5
76000,56.8
78000,111.3
80000,113.3
82000,142.8
84000,132.3
86000,146.9
88000,150.0
90000,136.9
92000,147.1
94000,128.4
96000,123.8
98000,149.5
100000,126.6
