step,stat/ep_reward
2000,0.42222040371421715
4000,0.39705574685275213
6000,0.3007911895146099
8000,0.3444746069347173
10000,0.35004916350347987
12000,0.3229470031855441
14000,0.3763411321992529
16000,0.3719149063992297
18000,0.3955643861051716
20000,0.3395655966178455
22000,0.3028741345156935
24000,0.32092659737780427
26000,0.3934679989573112
28000,0.22322248279414617
30000,0.30087780518582
32000,0.4244016063025183
34000,0.3276375416386742
36000,0.3040692005163566
38000,0.3771703269101416
40000,0.33694166847494
42000,0.3483796636973802
44000,0.2610241856184515
46000,0.2599331649630788
48000,0.289075213105541
50000,0.27132787790877483
52000,0.29809132339100514
54000,0.31455402831985935
56000,0.3969040484765858
58000,0.2943802788276422
60000,0.32271628216903964
62000,0.35898749249467177
64000,0.35023404000843605
66000,0.3707609937427829
68000,0.31501648601147625
70000,0.3206801973226098
72000,0.29045530511118
74000,0.2904323158280124
76000,0.3029289388287255
78000,0.3297067750836905
80000,0.2624041699255839
82000,0.33106186724405984
84000,0.28596743358491966
86000,0.29032469784974013
88000,0.29606951847209123
90000,0.31353950569186406
92000,0.321154212483729
94000,0.389991201501995
96000,0.3942920622355631
98000,0.46003762965118195
100000,0.45194674458449
