step,stat/ep_constraint_violation
2000,14.9
4000,11.3
6000,16.7
8000,16.1
10000,13.5
12000,21.6
14000,12.9
16000,13.0
18000,17.4
20000,20.5
22000,14.0
24000,22.7
26000,22.9
28000,14.0
30000,23.8
32000,18.7
34000,15.3
36000,24.3
38000,25.5
40000,13.6
42000,25.2
44000,24.4
46000,15.3
48000,22.2
50000,28.4
52000,15.2
54000,20.2
56000,25.2
58000,15.9
60000,26.8
62000,25.3
64000,16.7
66000,25.2
68000,23.8
70000,14.9
72000,23.4
74000,26.8
76000,17.2
78000,18.7
80000,26.5
82000,13.4
84000,24.3
86000,28.1
88000,15.2
90000,24.9
92000,23.5
94000,15.7
96000,27.2
98000,24.0
100000,15.9
