step,loss/policy_loss
2000,-0.0235281663503508
4000,-0.019905109438007544
6000,0.011252032517623653
8000,-0.0038354294210618998
10000,0.024805376960010207
12000,0.03711500469469463
14000,0.019926354674345694
16000,0.06550395557705264
18000,-0.003988472321117072
20000,0.020393570323016107
22000,0.1229683525844463
24000,-0.033689610313280174
26000,0.05223702451451982
28000,-0.01304457487766432
30000,0.006582485404910671
32000,-0.007120065979875326
34000,-0.019808629389406446
36000,-0.012881710685128434
38000,0.07181241683363397
40000,-0.016464216318796403
42000,-0.019334693174722608
44000,0.0975961788283019
46000,0.16479794113075716
48000,0.15175964815491916
50000,-0.01680895193246991
52000,-0.016449144934214295
54000,0.005784439128068552
56000,0.11210915325416018
58000,0.019878522860085936
60000,0.0014332924576473645
62000,0.01420131890800363
64000,0.0012598738762107002
66000,0.04030880795560574
68000,0.028597479341943254
70000,0.004639387092153172
72000,-0.010159557569326445
74000,0.06232343920779988
76000,-0.017279753277805354
78000,0.017375654511240346
80000,0.008196115783461888
82000,0.07755036497830922
84000,-0.0018652266713510522
86000,-9.229970451179754e-05
88000,0.018053467634720106
90000,-0.0018652144635695144
92000,0.01715815790233083
94000,0.18479795510069813
96000,-0.007853472749135035
98000,0.14153376274103865
100000,0.0445098181928074
