step,loss/approx_kl
2000,-0.06669922881604483
4000,-0.03356739707135906
6000,-0.07580298048754533
8000,-0.04284066633166124
10000,-0.07521665748984865
12000,-0.0019110975088551647
14000,-0.08018251833661148
16000,-0.054018412615793446
18000,-0.05670284956383209
20000,-0.08122608833946288
22000,0.07716827830299736
24000,-0.06344312198149663
26000,-0.05924592985150714
28000,-0.01894487019938727
30000,-0.032757984753698115
32000,-0.030886771646328266
34000,-0.07124474219356974
36000,-0.06569404217880219
38000,0.005474917761360604
40000,-0.0618838761933148
42000,-0.035105901312393446
44000,0.10752947131792703
46000,0.3796658260126909
48000,0.27753699074188865
50000,-0.05167934211591879
52000,-0.052031566031898055
54000,-0.03800313137471675
56000,0.08791919182986022
58000,-0.043987449794076386
60000,-0.07628746680760137
62000,-0.034627280896529555
64000,-0.06575734845828266
66000,-0.03625298088882119
68000,-0.03927641006497045
70000,-0.048472359341879684
72000,-0.07658277528050046
74000,-0.0580490308891361
76000,-0.04548865883455923
78000,-0.04296813876523325
80000,-0.050899159947099794
82000,-0.03952556946314871
84000,-0.06067263168903688
86000,-0.04932730078386764
88000,-0.031090222229249776
90000,-0.05386065597801158
92000,-0.049738787293123705
94000,-0.06921781167232742
96000,-0.051231227737541
98000,0.032008038430164254
100000,-0.04484625486657023
